Season,Date,Date_yyyy_mm_dd,Site ,Standard_Site_Code,Sample_Type,Species,MNR_Species_Code,Fish_Number,Sample_ID,Number_of_Individuals,Fork_Length_mm,Fork_Length_per_individual_mm,Total_Length_mm,Total_Length_per_individual_mm,Weight_lb,Weight_g ,Weight_per_individual_lb ,Weight_per_individual_g,Kept,Sex,SI_tissue_taken,Stomach_Contents,Pass_Number,Pria_Fish_Number,Notes
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,BND,630,1,HC1-18-BND-1,1,53,53,56,56,0.0033,1.5,0.003307,1.5,Y,IM,Y,"algae, plant matter",1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,BND,630,2,HC1-18-BND-2,1,43,43,45,45,0.0022,1,0.002205,1,Y,UNK,Y,"algae, plant matter",1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,BND,630,3,HC1-18-BND-3,1,43,43,45,45,0.0022,1,0.002205,1,Y,IM,Y,empty,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,BND,630,4,HC1-18-BND-4,1,45,45,49,49,0.0033,1.5,0.003307,1.5,Y,IM,Y,goo,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,BND,630,5,HC1-18-BND-5,1,41,41,45,45,0.0022,1,0.002205,1,Y,IM,Y,UNK,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,BND,630,6,HC1-18-BND-6,1,76,76,83,83,0.0143,6.5,0.01433,6.5,Y,F,Y,empty,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,BND,630,7,HC1-18-BND-7,1,65,65,70,70,0.0088,4,0.008818,4,Y,F,Y,Unidentifiable,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,BND,630,8,HC1-18-BND-8,1,44,44,47,47,0.0022,1,0.002205,1,Y,IM,Y,empty,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,1,HC1-18-CC-1,1,46,46,50,50,0.0022,1,0.002205,1,N,NA,NA,NA,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,2,HC1-18-CC-2,1,46,46,50,50,0.0033,1.5,0.003307,1.5,N,NA,NA,NA,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,3,HC1-18-CC-3,1,50,50,54,54,0.0044,2,0.004409,2,N,NA,NA,NA,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,4,HC1-18-CC-4,1,40,40,46,46,0.0022,1,0.002205,1,N,NA,NA,NA,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,5,HC1-18-CC-5,1,94,94,102,102,0.0209,9.5,0.020944,9.5,Y,F,Y,"algae, insect carapace",1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,6,HC1-18-CC-6,1,90,90,102,102,0.0198,9,0.019842,9,Y,M,Y,empty,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,7,HC1-18-CC-7,1,102,102,110,110,0.0353,16,0.035274,16,Y,UNK,Y,UNK,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,8,HC1-18-CC-8,1,118,118,126,126,0.0452,20.5,0.045195,20.5,Y,M,Y,gastropod/algae,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,9,HC1-18-CC-9,1,81,81,86,86,0.0154,7,0.015432,7,N,NA,NA,NA,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,10,HC1-18-CC-10,1,70,70,75,75,0.0088,4,0.008818,4,N,NA,NA,NA,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,11,HC1-18-CC-11,1,37,37,38,38,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,12,HC1-18-CC-12,1,74,74,78,78,0.011,5,0.011023,5,N,NA,NA,NA,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,13,HC1-18-CC-13,1,52,52,56,56,0.0044,2,0.004409,2,N,NA,NA,NA,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,14,HC1-18-CC-14,1,47,47,51,51,0.0033,1.5,0.003307,1.5,N,NA,NA,NA,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,15,HC1-18-CC-15,1,98,98,104,104,0.0243,11,0.024251,11,Y,F,Y,worm/algae,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,16,HC1-18-CC-16,1,95,95,100,100,0.0209,9.5,0.020944,9.5,Y,F,Y,worm/algae,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,17,HC1-18-CC-17,1,94,94,101,101,0.0254,11.5,0.025353,11.5,Y,IM,Y,algae,1,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,18,HC1-18-CC-18,1,124,124,132,132,0.0617,28,0.061729,28,Y,M,Y,algae,2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,19,HC1-18-CC-19,1,97,97,104,104,0.0231,10.5,0.023149,10.5,Y,F,Y,beetle(black weevil),2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,20,HC1-18-CC-20,1,79,79,83,83,0.0165,7.5,0.016535,7.5,Y,IM,Y,beetle (unkown species),2,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,21,HC1-18-CC-21,1,121,121,130,130,0.0518,23.5,0.051809,23.5,N,NA,NA,NA,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,22,HC1-18-CC-22,1,87,87,92,92,0.0209,9.5,0.020944,9.5,N,NA,NA,NA,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,23,HC1-18-CC-23,1,UNK,UNK,36,36,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,24,HC1-18-CC-24,1,50,50,53,53,0.0044,2,0.004409,2,N,NA,NA,NA,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,25,HC1-18-CC-25,1,69,69,73,73,0.0088,4,0.008818,4,N,NA,NA,NA,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,26,HC1-18-CC-26,1,53,53,57,57,0.0033,1.5,0.003307,1.5,N,NA,NA,NA,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,27,HC1-18-CC-27,1,48,48,51,51,0.0022,1,0.002205,1,N,NA,NA,NA,3,NA,
Spring,28/05/2018,2018-05-28,Hawk Cliff,haw.c,Individual,CC,212,28,HC1-18-CC-28,1,38,38,40,40,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,3,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BND,630,1,EP41-18-BND-1,1,UNK,UNK,42,42,0.0022,1,0.002205,1,Y,UNK,Y,UNK,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BND,630,2,EP41-18-BND-2,1,UNK,UNK,30,30,0.0011,0.5,0.001102,0.5,Y,UNK,Y,UNK,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BND,630,3,EP41-18-BND-3,1,UNK,UNK,33,33,0.0011,0.5,0.001102,0.5,Y,UNK,Y,UNK,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BND,630,4,EP41-18-BND-4,1,UNK,UNK,34,34,0.0011,0.5,0.001102,0.5,Y,UNK,Y,UNK,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BND,630,5,EP41-18-BND-5,1,73,73,80,80,0.011,5,0.011023,5,Y,F,Y,insects,Spot Check,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,1,EP41-18-BS-1,1,NA,NA,56,56,0.0044,2,0.004409,2,Y,M,Y,Unidentifiable,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,2,EP41-18-BS-2,1,NA,NA,64,64,0.0066,3,0.006614,3,Y,F,Y,plant matter,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,3,EP41-18-BS-3,1,NA,NA,45,45,0.0022,1,0.002205,1,Y,M,Y,empty,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,4,EP41-18-BS-4,1,NA,NA,54,54,0.0033,1.5,0.003307,1.5,Y,F,Y,plant matter,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,5,EP41-18-BS-5,1,NA,NA,42,42,0.0011,0.5,0.001102,0.5,Y,UNK,Y,empty,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,6,EP41-18-BS-6,1,NA,NA,42,42,0.0022,1,0.002205,1,Y,F,Y,UNK,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,7,EP41-18-BS-7,1,NA,NA,48,48,0.0022,1,0.002205,1,Y,F,Y,plant matter,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,8,EP41-18-BS-8,1,NA,NA,41,41,0.0011,0.5,0.001102,0.5,Y,M,Y,Unidentifiable,2,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,9,EP41-18-BS-9,1,NA,NA,36,36,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,2,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,10,EP41-18-BS-10,1,NA,NA,56,56,0.0044,2,0.004409,2,N,NA,NA,NA,3,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,11,EP41-18-BS-11,1,NA,NA,47,47,0.0022,1,0.002205,1,N,NA,NA,NA,3,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,12,EP41-18-BS-12,1,NA,NA,64,64,0.0066,3,0.006614,3,N,NA,NA,NA,3,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,BS,281,13,EP41-18-BS-13,1,NA,NA,57,57,0.0055,2.5,0.005512,2.5,Y,UNK,Y,UNK,3,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,1,EP41-18-CC-1,1,126,126,130,130,0.0573,26,0.05732,26,Y,F,Y,insects(beetle),1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,2,EP41-18-CC-2,1,101,101,106,106,0.0276,12.5,0.027558,12.5,Y,F,Y,algae,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,3,EP41-18-CC-3,1,119,119,127,127,0.0507,23,0.050706,23,Y,F,Y,insects,1,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,4,EP41-18-CC-4,1,104,104,111,111,0.0331,15,0.033069,15,Y,M,Y,insects/gastropod,Spot Check,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,5,EP41-18-CC-5,1,125,125,130,130,0.0496,22.5,0.049604,22.5,Y,F,Y,Unidentifiable,Spot Check,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,6,EP41-18-CC-6,1,108,108,116,116,0.0386,17.5,0.038581,17.5,Y,F,Y,plant matter/insects,Spot Check,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,7,EP41-18-CC-7,1,143,143,150,150,0.0827,37.5,0.082673,37.5,Y,M,Y,worms,Spot Check,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,8,EP41-18-CC-8,1,121,121,128,128,0.0562,25.5,0.056218,25.5,Y,M,Y,plant matter/insects (carapace),Spot Check,NA,
Spring,29/05/2018,2018-05-29,Perl 4,per4.f,Individual,CC,212,9,EP41-18-CC-9,1,161,161,169,169,0.1301,59,0.130073,59,Y,M,Y,insects,Spot Check,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,1,AT1-18-BS-1,1,NA,NA,47,47,0.0022,1,0.002205,1,Y,F,Y,Unidentifiable,2,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,2,AT1-18-BS-2,1,NA,NA,41,41,0.0011,0.5,0.001102,0.5,Y,M,Y,egg,2,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,3,AT1-18-BS-3,1,NA,NA,39,39,0.0022,1,0.002205,1,Y,F,Y,UNK,2,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,4,AT1-18-BS-4,1,NA,NA,45,45,0.0022,1,0.002205,1,Y,F,Y,insects,3,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,5,AT1-18-BS-5,1,NA,NA,41,41,0.0011,0.5,0.001102,0.5,Y,M,Y,Unidentifiable,3,NA,
Spring,30/05/2018,2018-05-30,Taylor,tay.f,Individual,BS,281,6,AT1-18-BS-6,1,NA,NA,43,43,0.0022,1,0.002205,1,Y,M,Y,Unidentifiable,3,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,1,HC2-18-BND-1,1,35,35,38,38,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,2,HC2-18-BND-2,1,35,35,37,37,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,3,HC2-18-BND-3,1,33,33,35,35,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,tail damage
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,4,HC2-18-BND-4,1,34,34,36,36,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,5,HC2-18-BND-5,1,30,30,33,33,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,6,HC2-18-BND-6,1,32,32,35,35,<0.5,<0.5,<0.5,<0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,7,HC2-18-BND-7,1,33,33,36,36,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,8,HC2-18-BND-8,1,34,34,36,36,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,9,HC2-18-BND-9,1,34,34,36,36,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,10,HC2-18-BND-10,1,32,32,35,35,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,11,HC2-18-BND-11,1,33,33,35,35,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,12,HC2-18-BND-12,1,31,31,34,34,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,13,HC2-18-BND-13,1,32,32,35,35,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,14,HC2-18-BND-14,1,28,28,30,30,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,15,HC2-18-BND-15,1,71,71,76,76,0.0088,4,0.008818,4,Y,M,Y,empty,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,16,HC2-18-BND-16,1,64,64,67,67,0.0066,3,0.006614,3,Y,IM,Y,empty,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,17,HC2-18-BND-17,1,55,55,59,59,0.0044,2,0.004409,2,Y,M,Y,algae,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,18,HC2-18-BND-18,1,54,54,57,57,0.0044,2,0.004409,2,Y,IM,Y,"detritus, algae",1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,19,HC2-18-BND-19,1,61,61,65,65,0.0055,2.5,0.005512,2.5,Y,IM,Y,empty,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,20,HC2-18-BND-20,1,62,62,67,67,0.0066,3,0.006614,3,N,NA,NA,NA,2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,21,HC2-18-BND-21,1,47,47,50,50,0.0022,1,0.002205,1,N,NA,NA,NA,2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,22,HC2-18-BND-22,1,35,35,37,37,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Bulk,BND,630,Bulk,NA,5,35,35,37,37,0.0022,1,0.000441,0.2,N,NA,NA,NA,2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,23,HC2-18-BND-23,1,70,70,74,74,0.0088,4,0.008818,4,Y,IM,Y,detritus,2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,24,HC2-18-BND-24,1,71,71,75,75,0.0088,4,0.008818,4,Y,F,Y,empty,2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,25,HC2-18-BND-25,1,73,73,76,76,0.0099,4.5,0.009921,4.5,Y,M,Y,detritus,2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,26,HC2-18-BND-26,1,58,58,61,61,0.0055,2.5,0.005512,2.5,Y,M,Y,"detritus, algae",2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,BND,630,27,HC2-18-BND-27,1,62,62,66,66,0.0066,3,0.006614,3,Y,UNK,Y,UNK,2,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Bulk,BND,630,Bulk,NA,4,30,30,33,33,0.0055,2.5,0.001378,0.6,N,NA,NA,NA,3,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,CC,212,1,HC2-18-CC-1,1,53,53,57,57,0.0033,1.5,0.003307,1.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,CC,212,2,HC2-18-CC-2,1,36,36,39,39,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,
Summer,01/08/2018,2018-08-01,Hawk Cliff,haw.c,Individual,CC,212,3,HC2-18-CC-3,1,UNK,UNK,35,35,0.0011,0.5,0.001102,0.5,N,NA,NA,NA,1,NA,tail damage
