OurLabID,Sample ID,,Weight (mg),Delta 2H (‰),Ampl. (mV),% H,Comment run,Comment submission,Hatch Lab ID
G-26207,EP41-18-CC-03,,0.741,-87.98,4657,3.7,,Creek Chub,B1819-546-001
G-26208,EP41-18-CC-04,,0.664,-95.99,4265,3.9,,Creek Chub,B1819-546-002
G-26209,EP41-18-CC-05,,0.714,-94.55,5915,1.8,,Creek Chub,B1819-546-003
G-26210,EP41-18-CC-05,,0.760,-99.92,6726,1.9,,0,B1819-546-004
G-26211,EP41-18-CC-06,,0.725,-103.23,6260,1.8,,Creek Chub,B1819-546-005
G-26212,EP41-18-CC-07,,0.698,-93.30,6003,1.8,,Creek Chub,B1819-546-006
G-26213,EP41-18-CC-08,,0.748,-100.47,6568,1.9,,Creek Chub,B1819-546-007
G-26214,EP41-18-CC-09,,0.744,-94.37,6635,1.9,,Creek Chub,B1819-546-008
G-26215,EP41-18-SC-01,,0.831,-131.49,6704,1.7,,Canada Goldenrod,B1819-546-009
G-26216,EP41-18-SC-02,,0.841,-131.10,6576,1.7,,Canada Goldenrod,B1819-546-010
G-26217,EP41-18-SC-03,,0.824,-130.07,6585,1.7,,Canada Goldenrod,B1819-546-011
G-26218,EP41-18-HE-01,,0.757,-96.40,6251,1.8,,Snails (internal muscle),B1819-546-012
G-26219,EP41-18-HE-02,,0.756,-92.78,6379,1.8,,Snails (internal muscle),B1819-546-013
,EP41-18-SU,,0.812,-94.79,7303,1.7,,Snails (internal muscle),
,EP41-18-EP-01,,0.953,-174.61,7982,1.6,,Mayfly (benthic invertebrate),
G-26222,EP41-18-EP-01,,0.992,-173.24,7167,1.5,,0,B1819-546-016
G-26223,EP41-18-EP-02,,1.092,-172.81,8248,1.6,,Mayfly (benthic invertebrate),B1819-546-017
G-26224,EP41-18-DT-01,,0.747,-110.14,2655,0.9,,Detritus (conditioned leaves),B1819-546-018
G-26225,EP41-18-DT-02,,0.746,-109.11,2812,0.9,,Detritus (conditioned leaves),B1819-546-019
G-26226,EP41-18-DT-03,,0.826,-108.97,3301,0.9,,Detritus (conditioned leaves),B1819-546-020
G-26227,EP41-18-ALGAE-01,,3.151,-149.50,6209,0.4,,Algae,B1819-546-021
G-26228,EP41-18-AL-02,,3.094,-151.68,6445,0.4,,Algae,B1819-546-022
G-26229,EP42-18-CC-01,,0.641,-101.15,5448,1.9,,Creek Chub,B1819-546-023
G-26230,EP42-18-CC-03,,0.702,-100.83,6309,1.9,,Creek Chub,B1819-546-024
G-26231,EP42-18-CC-07,,0.694,-98.38,5925,1.8,,Creek Chub,B1819-546-025
G-26232,EP42-18-CC-08,,0.773,-94.60,6878,1.9,,Creek Chub,B1819-546-026
G-26233,EP42-18-CC-08,,0.634,-93.75,5497,1.9,,0,B1819-546-027
G-26234,EP42-18-CC-09,,0.711,-107.18,6315,1.9,,Creek Chub,B1819-546-028
G-26235,EP42-18-CC-10,,0.719,-105.43,6212,1.9,,Creek Chub,B1819-546-029
G-26236,EP42-18-CC-11,,0.767,-96.11,6663,1.9,,Creek Chub,B1819-546-030
G-26237,EP42-18-CC-12,,0.680,-104.19,6001,1.9,,Creek Chub,B1819-546-031
G-26238,EP42-18-CC-13,,0.665,-100.72,5507,1.8,,Creek Chub,B1819-546-032
G-26239,EP42-18-SC-01,,0.853,-161.41,7185,1.8,,Canada Goldenrod,B1819-546-033
G-26240,EP42-18-SC-02,,0.823,-157.76,6860,1.8,,Canada Goldenrod,B1819-546-034
G-26241,EP42-18-SC-03,,0.763,-158.48,5999,1.7,,Canada Goldenrod,B1819-546-035
G-26242,EP42-18-SNAILS-01,,0.647,-93.05,5324,1.8,,Snails (internal muscle),B1819-546-036
G-26243,EP42-18-SNAILS-02,,0.745,-88.28,6210,1.8,,Snails (internal muscle),B1819-546-037
G-26244,EP42-18-SNAILS-02,,0.707,-91.68,5978,1.8,,0,B1819-546-038
G-26245,EP42-18-SNAILS-03,,0.677,-83.70,3806,3.3,,Snails (internal muscle),B1819-546-039
G-26246,EP42-18-ALGAE-01,,3.451,-147.78,6690,2.0,,Algae,B1819-546-040
G-26247,EP42-18-AL-02,,3.016,-131.30,8539,0.6,,Algae,B1819-546-041
G-26248,EP42-18-AL-03,,3.409,-126.03,9001,0.5,,Algae,B1819-546-042
G-26249,EP42-18-DET-01,,0.821,-108.57,3099,0.9,,Detritus (conditioned leaves),B1819-546-043
G-26250,EP42-18-DT-02,,0.874,-107.58,4507,1.2,,Detritus (conditioned leaves),B1819-546-044
G-26251,EP42-18-DT-03,,0.872,-106.92,4363,1.1,,Detritus (conditioned leaves),B1819-546-045
G-26252,EP43-18-CC-01,,0.697,-101.74,5893,1.8,,Creek Chub,B1819-546-046
G-26253,EP43-18-CC-02,,0.708,-95.05,6054,1.9,,Creek Chub,B1819-546-047
G-26254,EP43-18-CC-03,,0.644,-96.73,5387,1.8,,Creek Chub,B1819-546-048
G-26255,EP43-18-CC-03,,0.661,-96.62,5510,1.8,,0,B1819-546-049
G-26256,EP43-18-CC-04,,0.739,-100.39,6317,1.8,,Creek Chub,B1819-546-050
G-26257,EP43-18-CC-05,,0.722,-97.96,5977,1.8,,Creek Chub,B1819-546-051
G-26258,EP43-18-CC-06,,0.736,-96.02,6393,1.9,,Creek Chub,B1819-546-052
G-26259,EP43-18-CC-07,,0.684,-96.36,5748,1.8,,Creek Chub,B1819-546-053
G-26260,EP43-18-CC-08,,0.691,-101.17,5832,1.8,,Creek Chub,B1819-546-054
G-26261,EP43-18-CC-09,,0.705,-96.66,6050,1.9,,Creek Chub,B1819-546-055
G-26262,EP43-18-CC-10,,0.743,-101.66,6320,1.9,,Creek Chub,B1819-546-056
G-26263,EP43-18-SC-01,,0.776,-135.24,5879,1.7,,Canada Goldenrod,B1819-546-057
G-26264,EP43-18-SC-02,,0.878,-146.81,6987,1.7,,Canada Goldenrod,B1819-546-058
G-26265,EP43-18-SC-03,,0.780,-139.29,6037,1.7,,Canada Goldenrod,B1819-546-059
G-26266,EP43-18-EGS-01,,0.671,-85.75,5621,1.8,,Snails (internal muscle),B1819-546-060
G-26267,EP43-18-EGS-02,,0.661,-89.41,5426,1.8,,Snails (internal muscle),B1819-546-061
G-26268,EP43-18-EGS-03,,0.740,-87.93,6119,1.8,,Snails (internal muscle),B1819-546-062
G-26269,EP43-18-DET-01,,0.851,-114.86,3976,1.1,,Detritus (conditioned leaves),B1819-546-063
G-26270,EP43-18-DET-01,,0.750,-117.11,3494,1.1,,0,B1819-546-064
G-26271,EP43-18-DT-02,,0.804,-115.71,3778,1.1,,Detritus (conditioned leaves),B1819-546-065
G-26272,EP43-18-DT-03,,0.830,-116.15,4172,1.2,,Detritus (conditioned leaves),B1819-546-066
G-26273,EP43-18-WBM-01,,0.966,-166.10,9345,2.0,,Waterboatmen (aquatic invertebrate),B1819-546-067
G-26274,EP43-18-WBM-02,,0.963,-173.16,9520,2.0,,Waterboatmen (aquatic invertebrate),B1819-546-068
G-26275,EP43-18-WBM-03,,0.981,-165.03,9457,2.0,,Waterboatmen (aquatic invertebrate),B1819-546-069
G-26276,EP43-18-WBM-03,,1.095,-163.85,10638,2.0,,0,B1819-546-070
G-26277,EP43-18-ALGAE-01,,3.000,-135.01,6382,0.5,,Algae,B1819-546-071
G-26278,EP43-18-AL-02,,3.485,-135.58,7748,0.5,,Algae,B1819-546-072
G-26279,EP43-18-AL-03,,3.193,-136.87,9435,0.6,,Algae,B1819-546-073
G-26280,AT1-18-CC-01,,0.661,-125.76,5428,1.8,,Creek Chub,B1819-546-074
G-26281,AT1-18-CC-02,,0.736,-125.36,6076,1.8,,Creek Chub,B1819-546-075
G-26282,AT1-18-CC-03,,0.774,-126.63,6628,1.9,,Creek Chub,B1819-546-076
G-26283,AT1-18-CC-04,,0.721,-131.74,6033,1.8,,Creek Chub,B1819-546-077
G-26284,AT1-18-CC-05,,0.725,-121.62,6117,1.8,,Creek Chub,B1819-546-078
G-26285,AT1-18-CC-06,,0.687,-134.89,5721,1.8,,Creek Chub,B1819-546-079
G-26286,AT1-18-CC-07,,0.725,-131.54,5980,1.8,,Creek Chub,B1819-546-080